id,CPG NUMBER,DESCRIPTION,ROUTE PARTITION,CPG NAME,CPG NOTIFICATION POLICY,CPG NOTIFICATION TIMER,CALLING PARTY INFO,ASSOCIATED CPG NAME 1
13,81497005,LCA-PUG_CCPL-Accounting,SYSTEM-PT,LCA-PUG_CCPL-Accounting,No Alert,6,f,LCA-PUG_CCPL-Accounting
11,81497004,LCA-PUG-Import_Customer_Service,SYSTEM-PT,LCA-PUG-Import_Customer_Service,No Alert,6,f,LCA-PUG-Import_Customer_Service
12,81497003,LCA-PUG-Sales_Export,SYSTEM-PT,LCA-PUG-Sales_Export,No Alert,6,f,LCA-PUG-Sales_Export
10,81497002,LCA-PUG-Customer_Delivery,SYSTEM-PT,LCA-PUG-Customer_Delivery,No Alert,6,f,LCA-PUG-Customer_Delivery
7,81497006,LCA-PUG-Log_OPS_Intermodal,SYSTEM-PT,LCA-PUG-Log_OPS_Intermodal,No Alert,6,f,LCA-PUG-Log_OPS_Intermodal
13,81497005,LCA-PUG_CCPL-Accounting,SYSTEM-PT,LCA-PUG_CCPL-Accounting,No Alert,6,f,LCA-PUG_CCPL-Accounting
13,81497005,LCA-PUG_CCPL-Accounting,SYSTEM-PT,LCA-PUG_CCPL-Accounting,No Alert,6,f,LCA-PUG_CCPL-Accounting
11,81497004,LCA-PUG-Import_Customer_Service,SYSTEM-PT,LCA-PUG-Import_Customer_Service,No Alert,6,f,LCA-PUG-Import_Customer_Service
10,81497002,LCA-PUG-Customer_Delivery,SYSTEM-PT,LCA-PUG-Customer_Delivery,No Alert,6,f,LCA-PUG-Customer_Delivery
5,81497001,LCA-PUG-Customer_Care,SYSTEM-PT,LCA-PUG-Customer_Care,No Alert,6,f,LCA-PUG-Customer_Care
14,81497000,LCA-PUG-Booking,SYSTEM-PT,LCA-PUG-Booking,No Alert,6,f,LCA-PUG-Booking
13,81497005,LCA-PUG_CCPL-Accounting,SYSTEM-PT,LCA-PUG_CCPL-Accounting,No Alert,6,f,LCA-PUG_CCPL-Accounting
5,81497001,LCA-PUG-Customer_Care,SYSTEM-PT,LCA-PUG-Customer_Care,No Alert,6,f,LCA-PUG-Customer_Care
5,81497001,LCA-PUG-Customer_Care,SYSTEM-PT,LCA-PUG-Customer_Care,No Alert,6,f,LCA-PUG-Customer_Care
14,81497000,LCA-PUG-Booking,SYSTEM-PT,LCA-PUG-Booking,No Alert,6,f,LCA-PUG-Booking
10,81497002,LCA-PUG-Customer_Delivery,SYSTEM-PT,LCA-PUG-Customer_Delivery,No Alert,6,f,LCA-PUG-Customer_Delivery
7,81497006,LCA-PUG-Log_OPS_Intermodal,SYSTEM-PT,LCA-PUG-Log_OPS_Intermodal,No Alert,6,f,LCA-PUG-Log_OPS_Intermodal
13,81497005,LCA-PUG_CCPL-Accounting,SYSTEM-PT,LCA-PUG_CCPL-Accounting,No Alert,6,f,LCA-PUG_CCPL-Accounting
12,81497003,LCA-PUG-Sales_Export,SYSTEM-PT,LCA-PUG-Sales_Export,No Alert,6,f,LCA-PUG-Sales_Export
12,81497003,LCA-PUG-Sales_Export,SYSTEM-PT,LCA-PUG-Sales_Export,No Alert,6,f,LCA-PUG-Sales_Export
13,81497005,LCA-PUG_CCPL-Accounting,SYSTEM-PT,LCA-PUG_CCPL-Accounting,No Alert,6,f,LCA-PUG_CCPL-Accounting
16,81497007,LCA-PUG-CFO,SYSTEM-PT,LCA-PUG-CFO,No Alert,6,f,LCA-PUG-CFO
12,81497003,LCA-PUG-Sales_Export,SYSTEM-PT,LCA-PUG-Sales_Export,No Alert,6,f,LCA-PUG-Sales_Export
12,81497003,LCA-PUG-Sales_Export,SYSTEM-PT,LCA-PUG-Sales_Export,No Alert,6,f,LCA-PUG-Sales_Export
14,81497000,LCA-PUG-Booking,SYSTEM-PT,LCA-PUG-Booking,No Alert,6,f,LCA-PUG-Booking
16,81497007,LCA-PUG-CFO,SYSTEM-PT,LCA-PUG-CFO,No Alert,6,f,LCA-PUG-CFO
13,81497005,LCA-PUG_CCPL-Accounting,SYSTEM-PT,LCA-PUG_CCPL-Accounting,No Alert,6,f,LCA-PUG_CCPL-Accounting
11,81497004,LCA-PUG-Import_Customer_Service,SYSTEM-PT,LCA-PUG-Import_Customer_Service,No Alert,6,f,LCA-PUG-Import_Customer_Service
7,81497006,LCA-PUG-Log_OPS_Intermodal,SYSTEM-PT,LCA-PUG-Log_OPS_Intermodal,No Alert,6,f,LCA-PUG-Log_OPS_Intermodal
